"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","list_price","standard_cost","product_first_sold_date"
"98","49","333","2017-06-23","","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","2003-07-21"
"137","0","431","2017-09-23","0.0","Approved","","","","","1942.61","",""
"160","0","3300","2017-08-27","0.0","Approved","","","","","1656.86","",""
"167","90","3177","2017-04-26","","Approved","Norco Bicycles","Standard","low","medium","363.01","290.41","2005-05-10"
"170","6","404","2017-10-16","","Approved","OHM Cycles","Standard","high","medium","227.88","136.73","2003-08-05"
"251","63","1967","2017-04-11","","Approved","Solex","Standard","medium","medium","1483.2","99.59","2015-05-21"
"301","78","2530","2017-03-24","","Approved","Giant Bicycles","Standard","medium","large","1765.3","709.48","1997-01-25"
"337","82","1615","2017-10-30","","Approved","Norco Bicycles","Standard","high","medium","1148.64","689.18","2013-09-16"
"343","61","1478","2017-03-11","","Approved","Norco Bicycles","Standard","medium","small","586.45","521.94","1991-07-10"
"367","0","1614","2017-03-10","0.0","Approved","","","","","850.89","",""
"399","83","1306","2017-12-18","","Approved","Solex","Touring","medium","large","2083.94","675.03","2004-08-07"
"407","0","2559","2017-06-14","1.0","Approved","","","","","710.59","",""
"477","73","367","2017-02-12","","Approved","Solex","Standard","medium","medium","1945.43","333.18","2006-05-22"
"530","62","1202","2017-03-31","","Approved","Solex","Standard","medium","medium","478.16","298.72","1993-06-23"
"559","20","3104","2017-03-21","","Approved","Trek Bicycles","Standard","medium","small","1775.81","1580.47","1991-08-05"
"577","1","149","2017-05-04","","Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","2011-04-16"
"677","0","2609","2017-07-02","0.0","Approved","","","","","1972.01","",""
"761","4","2428","2017-12-20","","Approved","Giant Bicycles","Standard","high","medium","1129.13","677.48","1991-11-07"
"770","4","2414","2017-09-10","","Approved","Giant Bicycles","Standard","high","medium","1129.13","677.48","2004-09-28"
"781","0","897","2017-05-10","1.0","Approved","","","","","311.54","",""
"844","40","3412","2017-07-09","","Approved","OHM Cycles","Standard","high","medium","1458.17","874.9","1999-12-04"
"915","39","2756","2017-03-16","","Approved","Giant Bicycles","Standard","medium","large","1812.75","582.48","2010-06-07"
"918","35","2281","2017-04-30","","Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","2016-11-14"
"1004","0","2254","2017-05-16","0.0","Cancelled","","","","","205.84","",""
"1061","63","1342","2017-07-14","","Approved","Solex","Standard","medium","medium","1483.2","99.59","1995-10-24"
"1072","36","1505","2017-11-09","","Approved","Solex","Standard","low","medium","945.04","507.58","2011-08-29"
"1131","0","2163","2017-03-09","0.0","Approved","","","","","605.54","",""
"1160","73","1722","2017-12-15","","Approved","Solex","Standard","medium","medium","1945.43","333.18","2002-08-31"
"1193","71","79","2017-11-17","","Approved","Solex","Standard","high","large","1842.92","1105.75","1995-10-24"
"1197","0","2234","2017-04-04","0.0","Approved","","","","","756.31","",""
"1201","84","3241","2017-05-25","","Approved","Trek Bicycles","Road","medium","medium","290.62","215.14","2004-08-07"
"1283","0","397","2017-08-09","0.0","Approved","","","","","850.0","",""
"1355","92","1864","2017-02-28","","Approved","WeareA2B","Standard","medium","small","1415.01","1259.36","2003-01-05"
"1362","32","1395","2017-01-27","","Approved","Giant Bicycles","Standard","high","medium","1179.0","707.4","2005-05-10"
"1372","17","3254","2017-04-19","","Approved","Solex","Standard","high","medium","1024.66","614.8","1996-11-09"
"1382","96","1393","2017-12-29","","Approved","WeareA2B","Road","low","small","1172.78","1043.77","2002-10-10"
"1524","31","2151","2017-05-05","","Approved","Giant Bicycles","Standard","medium","medium","230.91","173.18","2006-11-10"
"1553","62","842","2017-10-23","","Approved","Solex","Standard","high","medium","1024.66","614.8","1996-11-09"
"1556","73","2776","2017-10-30","","Approved","Solex","Standard","medium","medium","1945.43","333.18","2002-08-31"
"1622","0","736","2017-09-07","","Approved","WeareA2B","Standard","medium","small","175.89","131.92","2003-02-16"
"1654","0","1972","2017-10-05","0.0","Approved","","","","","571.27","",""
"1681","0","2733","2017-05-18","0.0","Approved","","","","","294.35","",""
"1753","0","925","2017-07-25","0.0","Approved","","","","","149.3","",""
"1779","0","2153","2017-03-23","0.0","Approved","","","","","447.25","",""
"1818","88","585","2017-03-07","","Approved","Norco Bicycles","Standard","medium","medium","1198.46","381.1","1998-12-16"
"1888","83","3045","2017-05-31","","Approved","Solex","Touring","medium","large","2083.94","675.03","1993-04-20"
"1922","21","942","2017-08-09","","Approved","Solex","Standard","medium","large","1071.23","380.74","1993-07-15"
"1938","27","664","2017-05-25","","Approved","Trek Bicycles","Standard","low","medium","1057.51","154.4","1994-07-12"
"1981","49","825","2017-03-19","","Approved","Trek Bicycles","Road","medium","medium","533.51","400.13","2001-11-25"
"1988","83","2599","2017-07-09","","Approved","Solex","Touring","medium","large","2083.94","675.03","2013-09-16"
"2096","34","515","2017-08-09","","Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","2004-08-17"
"2187","0","1568","2017-03-14","1.0","Approved","","","","","1348.41","",""
"2214","15","934","2017-07-21","","Approved","Norco Bicycles","Standard","low","medium","958.74","748.9","2013-03-12"
"2284","71","1418","2017-04-21","","Approved","Solex","Standard","high","large","1842.92","1105.75","2011-01-10"
"2303","0","2465","2017-04-22","0.0","Approved","","","","","1021.43","",""
"2390","64","778","2017-04-29","","Approved","Giant Bicycles","Standard","high","small","1977.36","1759.85","2011-08-24"
"2615","89","3469","2017-11-24","","Approved","WeareA2B","Touring","medium","large","1362.99","57.74","2002-10-10"
"2618","53","2192","2017-08-31","","Approved","OHM Cycles","Standard","medium","medium","795.34","101.58","1997-02-09"
"2633","9","149","2017-10-17","","Cancelled","OHM Cycles","Road","medium","medium","742.54","667.4","2016-07-09"
"2647","4","1768","2017-06-23","","Approved","Solex","Standard","medium","medium","1483.2","99.59","1998-12-17"
"2648","56","1725","2017-09-21","","Approved","Norco Bicycles","Mountain","low","small","688.63","612.88","1991-11-10"
"2773","0","1136","2017-05-08","","Approved","Giant Bicycles","Standard","medium","medium","230.91","173.18","2006-11-10"
"2842","24","1451","2017-11-29","","Approved","Solex","Road","medium","large","1777.8","820.78","1991-08-05"
"2948","0","3212","2017-09-14","0.0","Approved","","","","","1163.77","",""
"2991","0","812","2017-04-10","1.0","Approved","","","","","1294.66","",""
"3026","16","2574","2017-01-15","","Approved","Norco Bicycles","Standard","high","small","1661.92","1479.11","1994-09-09"
"3033","64","1120","2017-02-15","","Approved","Trek Bicycles","Standard","medium","large","1469.44","596.55","2012-05-18"
"3135","69","157","2017-04-16","","Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","1992-10-02"
"3195","0","1902","2017-12-09","0.0","Approved","","","","","638.29","",""
"3201","1","1182","2017-08-25","","Approved","Giant Bicycles","Standard","medium","medium","1403.5","954.82","1991-11-07"
"3260","0","3168","2017-02-24","1.0","Approved","","","","","1202.34","",""
"3409","0","52","2017-03-11","1.0","Approved","","","","","326.86","",""
"3454","34","395","2017-10-02","","Approved","WeareA2B","Standard","medium","medium","1231.15","161.6","2003-08-05"
"3533","68","1131","2017-02-04","","Approved","OHM Cycles","Standard","medium","medium","1636.9","44.71","2010-08-20"
"3554","62","2432","2017-11-28","","Approved","Solex","Standard","medium","medium","478.16","298.72","1993-06-23"
"3782","0","1503","2017-11-26","1.0","Approved","","","","","814.86","",""
"3813","84","2963","2017-11-05","","Approved","Trek Bicycles","Road","medium","medium","290.62","215.14","2003-01-05"
"3878","0","696","2017-07-30","0.0","Approved","","","","","1102.68","",""
"3905","0","3323","2017-03-11","","Approved","Solex","Road","medium","medium","416.98","312.74","1997-05-10"
"3930","0","3415","2017-10-30","","Approved","Trek Bicycles","Road","medium","medium","290.62","215.14","2003-01-05"
"3955","84","2559","2017-08-29","","Approved","Giant Bicycles","Road","medium","medium","792.9","594.68","1992-10-02"
"3958","89","1200","2017-08-01","","Approved","Giant Bicycles","Standard","medium","large","1812.75","582.48","2010-06-07"
"4025","0","3264","2017-05-05","1.0","Approved","","","","","1880.4","",""
"4044","52","2350","2017-04-11","","Approved","OHM Cycles","Road","medium","medium","1280.28","829.51","2003-07-21"
